"","date","dailyAv","sum","n","month"
"1","2018-10-1",4354.95520833333,104518.925,24,"10"
"2","2018-10-10",4252.449,102058.776,24,"10"
"3","2018-10-11",4137.21291666667,99293.11,24,"10"
"4","2018-10-12",3733.98758333333,89615.702,24,"10"
"5","2018-10-13",3645.26954166667,87486.469,24,"10"
"6","2018-10-14",3613.964625,86735.151,24,"10"
"7","2018-10-15",3920.51479166667,94092.355,24,"10"
"8","2018-10-16",3955.73241666667,94937.578,24,"10"
"9","2018-10-17",3982.65125,95583.63,24,"10"
"10","2018-10-18",4121.913625,98925.927,24,"10"
"11","2018-10-19",4203.83025,100891.926,24,"10"
"12","2018-10-2",4323.23395833333,103757.615,24,"10"
"13","2018-10-20",3744.07991666667,89857.918,24,"10"
"14","2018-10-21",3965.75029166667,95178.007,24,"10"
"15","2018-10-22",4518.99258333333,108455.822,24,"10"
"16","2018-10-23",4322.09858333333,103730.366,24,"10"
"17","2018-10-24",4313.183875,103516.413,24,"10"
"18","2018-10-25",4577.57675,109861.842,24,"10"
"19","2018-10-26",4477.111,107450.664,24,"10"
"20","2018-10-27",4141.231125,99389.547,24,"10"
"21","2018-10-28",3976.06191666667,95425.486,24,"10"
"22","2018-10-29",4253.782375,102090.777,24,"10"
"23","2018-10-3",4498.07383333333,107953.772,24,"10"
"24","2018-10-30",4463.95145833333,107134.835,24,"10"
"25","2018-10-31",4217.078875,101209.893,24,"10"
"26","2018-10-4",4578.68416666667,109888.42,24,"10"
"27","2018-10-5",4496.95895833333,107927.015,24,"10"
"28","2018-10-6",4303.98666666667,103295.68,24,"10"
"29","2018-10-7",4329.06508333333,103897.562,24,"10"
"30","2018-10-8",4645.56820833333,111493.637,24,"10"
"31","2018-10-9",4452.12325,106850.958,24,"10"
"32","2018-11-1",3963.77075,95130.498,24,"11"
"33","2018-11-10",4702.130375,112851.129,24,"11"
"34","2018-11-11",4909.95783333333,117838.988,24,"11"
"35","2018-11-12",5082.59358333333,121982.246,24,"11"
"36","2018-11-13",4844.46608333333,116267.186,24,"11"
"37","2018-11-14",2535.12804166667,60843.073,24,"11"
"38","2018-11-15",5325.08191666667,127801.966,24,"11"
"39","2018-11-16",5100.80583333333,122419.34,24,"11"
"40","2018-11-17",4558.76454166667,109410.349,24,"11"
"41","2018-11-18",4461.83058333333,107083.934,24,"11"
"42","2018-11-19",4452.772375,106866.537,24,"11"
"43","2018-11-2",3981.42566666667,95554.216,24,"11"
"44","2018-11-20",4551.552125,109237.251,24,"11"
"45","2018-11-21",4798.275,115158.6,24,"11"
"46","2018-11-22",4787.14854166667,114891.565,24,"11"
"47","2018-11-23",4688.59795833333,112526.351,24,"11"
"48","2018-11-24",4576.92433333333,109846.184,24,"11"
"49","2018-11-25",4158.71070833333,99809.057,24,"11"
"50","2018-11-26",4781.50591666667,114756.142,24,"11"
"51","2018-11-27",5738.41241666667,137721.898,24,"11"
"52","2018-11-28",6206.30229166667,148951.255,24,"11"
"53","2018-11-29",5585.38570833333,134049.257,24,"11"
"54","2018-11-3",4113.56029166667,98725.447,24,"11"
"55","2018-11-30",4669.37420833333,112064.981,24,"11"
"56","2018-11-4",4102.2394,102555.985,25,"11"
"57","2018-11-5",4066.1445,97587.468,24,"11"
"58","2018-11-6",4040.13775,96963.306,24,"11"
"59","2018-11-7",4182.89641666667,100389.514,24,"11"
"60","2018-11-8",4265.46954166667,102371.269,24,"11"
"61","2018-11-9",4468.09166666667,107234.2,24,"11"
"62","2018-12-1",4331.12795833333,103947.071,24,"12"
"63","2018-12-10",5538.66158333333,132927.878,24,"12"
"64","2018-12-11",5994.1235,143858.964,24,"12"
"65","2018-12-12",5781.83779166667,138764.107,24,"12"
"66","2018-12-13",5213.48225,125123.574,24,"12"
"67","2018-12-14",5171.1045,124106.508,24,"12"
"68","2018-12-15",4596.90358333333,110325.686,24,"12"
"69","2018-12-16",4403.13416666667,105675.22,24,"12"
"70","2018-12-17",4816.79733333333,115603.136,24,"12"
"71","2018-12-18",5219.493,125267.832,24,"12"
"72","2018-12-19",5305.04220833333,127321.013,24,"12"
"73","2018-12-2",3982.726,95585.424,24,"12"
"74","2018-12-20",5122.04129166667,122928.991,24,"12"
"75","2018-12-21",4728.68866666667,113488.528,24,"12"
"76","2018-12-22",4961.05166666667,119065.24,24,"12"
"77","2018-12-23",5047.151,121131.624,24,"12"
"78","2018-12-24",4675.773875,112218.573,24,"12"
"79","2018-12-25",4701.67841666667,112840.282,24,"12"
"80","2018-12-26",5183.763125,124410.315,24,"12"
"81","2018-12-27",5154.917375,123718.017,24,"12"
"82","2018-12-28",4459.05470833333,107017.313,24,"12"
"83","2018-12-29",4299.50645833333,103188.155,24,"12"
"84","2018-12-3",4515.74633333333,108377.912,24,"12"
"85","2018-12-30",4298.12745833333,103155.059,24,"12"
"86","2018-12-31",4266.95575,102406.938,24,"12"
"87","2018-12-4",5161.98466666667,123887.632,24,"12"
"88","2018-12-5",5622.23945833333,134933.747,24,"12"
"89","2018-12-6",5590.80358333333,134179.286,24,"12"
"90","2018-12-7",5394.137,129459.288,24,"12"
"91","2018-12-8",5468.20279166667,131236.867,24,"12"
"92","2018-12-9",5652.203625,135652.887,24,"12"
"93","2018-8-1",4588.35204166667,110120.449,24,"8"
"94","2018-8-10",4816.70241666667,115600.858,24,"8"
"95","2018-8-11",4620.33433333333,110888.024,24,"8"
"96","2018-8-12",4223.90016666667,101373.604,24,"8"
"97","2018-8-13",4526.29566666667,108631.096,24,"8"
"98","2018-8-14",4539.01416666667,108936.34,24,"8"
"99","2018-8-15",4664.207875,111940.989,24,"8"
"100","2018-8-16",4937.83591666667,118508.062,24,"8"
"101","2018-8-17",4981.64004166667,119559.361,24,"8"
"102","2018-8-18",4415.41566666667,105969.976,24,"8"
"103","2018-8-19",4374.13220833333,104979.173,24,"8"
"104","2018-8-2",4536.31820833333,108871.637,24,"8"
"105","2018-8-20",4769.055125,114457.323,24,"8"
"106","2018-8-21",4791.48858333333,114995.726,24,"8"
"107","2018-8-22",4555.118625,109322.847,24,"8"
"108","2018-8-23",4125.40258333333,99009.662,24,"8"
"109","2018-8-24",4201.57495833333,100837.799,24,"8"
"110","2018-8-25",4103.79879166667,98491.171,24,"8"
"111","2018-8-26",4242.52866666667,101820.688,24,"8"
"112","2018-8-27",5104.4595,122507.028,24,"8"
"113","2018-8-28",5211.88816666667,125085.316,24,"8"
"114","2018-8-29",5261.23016666667,126269.524,24,"8"
"115","2018-8-3",4443.43604166667,106642.465,24,"8"
"116","2018-8-30",5100.609125,122414.619,24,"8"
"117","2018-8-31",4884.000125,117216.003,24,"8"
"118","2018-8-4",4541.05354166667,108985.285,24,"8"
"119","2018-8-5",4617.574125,110821.779,24,"8"
"120","2018-8-6",4962.01704166667,119088.409,24,"8"
"121","2018-8-7",4998.678875,119968.293,24,"8"
"122","2018-8-8",4881.96516666667,117167.164,24,"8"
"123","2018-8-9",4949.89441666667,118797.466,24,"8"
"124","2018-9-1",4406.483,105755.592,24,"9"
"125","2018-9-10",4151.90854166667,99645.805,24,"9"
"126","2018-9-11",4257.842625,102188.223,24,"9"
"127","2018-9-12",4514.79266666667,108355.024,24,"9"
"128","2018-9-13",4746.97904166667,113927.497,24,"9"
"129","2018-9-14",4596.39679166667,110313.523,24,"9"
"130","2018-9-15",4213.265375,101118.369,24,"9"
"131","2018-9-16",3956.01729166667,94944.415,24,"9"
"132","2018-9-17",4446.664,106719.936,24,"9"
"133","2018-9-18",4566.59133333333,109598.192,24,"9"
"134","2018-9-19",4636.049625,111265.191,24,"9"
"135","2018-9-2",4443.79529166667,106651.087,24,"9"
"136","2018-9-20",4802.631875,115263.165,24,"9"
"137","2018-9-21",4797.19754166667,115132.741,24,"9"
"138","2018-9-22",4254.48133333333,102107.552,24,"9"
"139","2018-9-23",3779.80041666667,90715.21,24,"9"
"140","2018-9-24",4042.647,97023.528,24,"9"
"141","2018-9-25",4200.006375,100800.153,24,"9"
"142","2018-9-26",4255.89433333333,102141.464,24,"9"
"143","2018-9-27",4076.065375,97825.569,24,"9"
"144","2018-9-28",4074.068375,97777.641,24,"9"
"145","2018-9-29",3769.84275,90476.226,24,"9"
"146","2018-9-3",4732.31858333333,113575.646,24,"9"
"147","2018-9-30",3737.78520833333,89706.845,24,"9"
"148","2018-9-4",5221.79629166667,125323.111,24,"9"
"149","2018-9-5",5215.27641666667,125166.634,24,"9"
"150","2018-9-6",5254.38216666667,126105.172,24,"9"
"151","2018-9-7",5057.155,121371.72,24,"9"
"152","2018-9-8",4539.59366666667,108950.248,24,"9"
"153","2018-9-9",3958.35420833333,95000.501,24,"9"
"154","2019-1-1",3789.54545833333,90949.091,24,"1"
"155","2019-1-10",6202.39854166667,148857.565,24,"1"
"156","2019-1-11",5918.08770833333,142034.105,24,"1"
"157","2019-1-12",5466.624,131198.976,24,"1"
"158","2019-1-13",5292.10291666667,127010.47,24,"1"
"159","2019-1-14",5698.23025,136757.526,24,"1"
"160","2019-1-15",5697.38466666667,136737.232,24,"1"
"161","2019-1-16",5760.025375,138240.609,24,"1"
"162","2019-1-17",5689.11358333333,136538.726,24,"1"
"163","2019-1-18",5168.84254166667,124052.221,24,"1"
"164","2019-1-19",4965.418375,119170.041,24,"1"
"165","2019-1-2",4586.47191666667,110075.326,24,"1"
"166","2019-1-20",5693.21466666667,136637.152,24,"1"
"167","2019-1-21",7340.10129166667,176162.431,24,"1"
"168","2019-1-22",6468.41133333333,155241.872,24,"1"
"169","2019-1-23",5070.33716666667,121688.092,24,"1"
"170","2019-1-24",5145.541,123492.984,24,"1"
"171","2019-1-25",5729.28875,137502.93,24,"1"
"172","2019-1-26",5780.62241666667,138734.938,24,"1"
"173","2019-1-27",5337.95554166667,128110.933,24,"1"
"174","2019-1-28",5319.278375,127662.681,24,"1"
"175","2019-1-29",5701.9235,136846.164,24,"1"
"176","2019-1-3",4677.01108333333,112248.266,24,"1"
"177","2019-1-30",6888.34208333333,165320.21,24,"1"
"178","2019-1-31",7009.23325,168221.598,24,"1"
"179","2019-1-4",4866.368375,116792.841,24,"1"
"180","2019-1-5",4442.730125,106625.523,24,"1"
"181","2019-1-6",4399.43629166667,105586.471,24,"1"
"182","2019-1-7",4735.15441666667,113643.706,24,"1"
"183","2019-1-8",4409.93466666667,105838.432,24,"1"
"184","2019-1-9",5141.418875,123394.053,24,"1"
"185","2019-10-1",4775.253125,114606.075,24,"10"
"186","2019-10-10",3941.21825,94589.238,24,"10"
"187","2019-10-11",3883.28558333333,93198.854,24,"10"
"188","2019-10-12",3474.41320833333,83385.917,24,"10"
"189","2019-10-13",3442.93245833333,82630.379,24,"10"
"190","2019-10-14",3859.712875,92633.109,24,"10"
"191","2019-10-15",3935.82375,94459.77,24,"10"
"192","2019-10-16",3925.52795833333,94212.671,24,"10"
"193","2019-10-17",4118.06495833333,98833.559,24,"10"
"194","2019-10-18",4076.13695833333,97827.287,24,"10"
"195","2019-10-19",3911.641375,93879.393,24,"10"
"196","2019-10-2",4778.57308333333,114685.754,24,"10"
"197","2019-10-20",3637.888,87309.312,24,"10"
"198","2019-10-21",4000.74479166667,96017.875,24,"10"
"199","2019-10-22",3893.16329166667,93435.919,24,"10"
"200","2019-10-23",3998.62145833333,95966.915,24,"10"
"201","2019-10-24",4142.83020833333,99427.925,24,"10"
"202","2019-10-25",3997.28316666667,95934.796,24,"10"
"203","2019-10-26",3625.87545833333,87021.011,24,"10"
"204","2019-10-27",3485.81083333333,83659.46,24,"10"
"205","2019-10-28",3868.61541666667,92846.77,24,"10"
"206","2019-10-29",3799.89670833333,91197.521,24,"10"
"207","2019-10-3",4938.01241666667,118512.298,24,"10"
"208","2019-10-30",3848.673875,92368.173,24,"10"
"209","2019-10-31",3836.97004166667,92087.281,24,"10"
"210","2019-10-4",4490.05058333333,107761.214,24,"10"
"211","2019-10-5",3648.06245833333,87553.499,24,"10"
"212","2019-10-6",3575.27391666667,85806.574,24,"10"
"213","2019-10-7",3985.21558333333,95645.174,24,"10"
"214","2019-10-8",3881.75375,93162.09,24,"10"
"215","2019-10-9",3903.360125,93680.643,24,"10"
"216","2019-11-1",4339.839125,104156.139,24,"11"
"217","2019-11-10",4137.22904166667,99293.497,24,"11"
"218","2019-11-11",4168.28566666667,100038.856,24,"11"
"219","2019-11-12",5290.93583333333,126982.46,24,"11"
"220","2019-11-13",5923.3025,142159.26,24,"11"
"221","2019-11-14",5671.11145833333,136106.675,24,"11"
"222","2019-11-15",5057.65641666667,121383.754,24,"11"
"223","2019-11-16",4876.07645833333,117025.835,24,"11"
"224","2019-11-17",4598.96341666667,110375.122,24,"11"
"225","2019-11-18",4741.973375,113807.361,24,"11"
"226","2019-11-19",4695.180625,112684.335,24,"11"
"227","2019-11-2",4367.75983333333,104826.236,24,"11"
"228","2019-11-20",4644.10345833333,111458.483,24,"11"
"229","2019-11-21",4678.89641666667,112293.514,24,"11"
"230","2019-11-22",4414.696375,105952.713,24,"11"
"231","2019-11-23",4537.6145,108902.748,24,"11"
"232","2019-11-24",4471.317875,107311.629,24,"11"
"233","2019-11-25",4670.206375,112084.953,24,"11"
"234","2019-11-26",4582.64608333333,109983.506,24,"11"
"235","2019-11-27",4138.12258333333,99314.942,24,"11"
"236","2019-11-28",4239.130875,101739.141,24,"11"
"237","2019-11-29",4158.547625,99805.143,24,"11"
"238","2019-11-3",4213.80116,105345.029,25,"11"
"239","2019-11-30",4184.66629166667,100431.991,24,"11"
"240","2019-11-4",4585.70683333333,110056.964,24,"11"
"241","2019-11-5",4424.34129166667,106184.191,24,"11"
"242","2019-11-6",4309.50345833333,103428.083,24,"11"
"243","2019-11-7",4275.70445833333,102616.907,24,"11"
"244","2019-11-8",4833.56966666667,116005.672,24,"11"
"245","2019-11-9",4906.411125,117753.867,24,"11"
"246","2019-12-1",4054.94470833333,97318.673,24,"12"
"247","2019-12-10",4582.263625,109974.327,24,"12"
"248","2019-12-11",5388.77229166667,129330.535,24,"12"
"249","2019-12-12",5544.04125,133056.99,24,"12"
"250","2019-12-13",5172.39095833333,124137.383,24,"12"
"251","2019-12-14",4503.465875,108083.181,24,"12"
"252","2019-12-15",4406.41470833333,105753.953,24,"12"
"253","2019-12-16",4664.13875,111939.33,24,"12"
"254","2019-12-17",4833.62983333333,116007.116,24,"12"
"255","2019-12-18",5726.93016666667,137446.324,24,"12"
"256","2019-12-19",5860.60095833333,140654.423,24,"12"
"257","2019-12-2",5095.03604166667,122280.865,24,"12"
"258","2019-12-20",5490.408,131769.792,24,"12"
"259","2019-12-21",4980.94858333333,119542.766,24,"12"
"260","2019-12-22",4899.26420833333,117582.341,24,"12"
"261","2019-12-23",4572.76529166667,109746.367,24,"12"
"262","2019-12-24",4195.63533333333,100695.248,24,"12"
"263","2019-12-25",4132.316375,99175.593,24,"12"
"264","2019-12-26",4305.08475,103322.034,24,"12"
"265","2019-12-27",4210.01204166667,101040.289,24,"12"
"266","2019-12-28",3958.32783333333,94999.868,24,"12"
"267","2019-12-29",3783.93883333333,90814.532,24,"12"
"268","2019-12-3",5294.96791666667,127079.23,24,"12"
"269","2019-12-30",3940.36608333333,94568.786,24,"12"
"270","2019-12-31",4584.23691666667,110021.686,24,"12"
"271","2019-12-4",5145.656625,123495.759,24,"12"
"272","2019-12-5",4936.790625,118482.975,24,"12"
